source_link,keyword
http://depo.aa.com.tr/app/tr-tr/YardimMerkezi/Aciklama/AADepo/etkinlik-dosya-surum-gorme,yer hareketleri
http://m.milliyet.com.tr/amp/maden-kuyusuna-dusen-inek-6-saatte-kurtarildi-eskisehir-yerelhaber-3261949/,zemin kayması
http://m.milliyet.com.tr/amp/mhp-genel-baskani-bahceli-den-siyaset-2741789/,zemin hareketi
http://m.milliyet.com.tr/trabzonspor-dan-ali-koc-a-mesaj-trabzonspor-2684174-skorerhaber/,kaya düşmesi
http://uzmanpara.milliyet.com.tr/haber-detay/gundem2/ekonomik-gelismeler-ve-forex-yorumlari/42000/42176/,yer hareketleri
http://www.aa.com.tr/tr/mod/fotograf-galerisi/21581/izmirde-kopru-iskelesinde-cokme,yer çökmesi
http://www.cumhuriyet.com.tr/bilim-teknoloji/dunyayi-yutacak-kadar-buyuk-jupiter-firtinasi-nasayi-soke-etti-2256934,yer hareketleri
http://www.cumhuriyet.com.tr/dunya/buyuk-israil-haritasi-gosterip-isgal-cagrisinda-bulunmustu-2256700,toprak hareketi
http://www.cumhuriyet.com.tr/ekonomi/turk-is-baskani-atalay-bize-17-bin-lirayi-fazla-goren-zenginler-var-2256835,yer hareketleri
http://www.cumhuriyet.com.tr/haber/toprak-gokhan-tore-kariyerim-ve-hayatimla-oynadi-236639,toprak hareketi
http://www.cumhuriyet.com.tr/video/video/1035680/Beyoglu_ndaki_binanin_cokme_ani_kamerada.html,"toprak çökmesi,toprak kayması"
http://www.cumhuriyet.com.tr/video/video/205062/Besiktas_ta_toprak_kaymasi.html,yer kayması
http://www.cumhuriyet.com.tr/video/video/67339/Toprak_kaymasi_araclari_boyle_yuttu.html?lwzfkegmfbtdgmyn,toprak çökmesi
http://www.cumhuriyet.com.tr/video/video/828627/Elazig_da_yuk_trenine_carpan_kamyon_ikiye_bolundu.html,"moloz akıntısı,moloz hareketi"
http://www.cumhuriyet.com.tr/yazarlar/eren-aysan/ahmet-say-anisina-odul-toreni-2256924,yer hareketleri
http://www.iha.com.tr/amp/haber-oktay-vuraldan-kilicdarogluna-cevap-568879/,zemin hareketi
http://www.iha.com.tr/embed-video-62827/,yamaç kayması
http://www.iha.com.tr/etiket-derya-akciger/,çamur hareketi
http://www.iha.com.tr/etiket-guneysu/sayfa-/,kaya kayması
http://www.iha.com.tr/etiket-hamit-kaya/,kaya düşmesi
http://www.iha.com.tr/etiket-temel-karadeniz/,kaya düşmesi
http://www.iha.com.tr/malatya-haberleri/malatya-valisi-mustafa-toprak-dogansehir-ilcesini-ziyaret-etti-malatya-1507983/,toprak hareketi
http://www.iha.com.tr/manisa-haberleri/turgutlu-belediyesinden-4-bin-metre-karelik-yol-calismasi-manisa-1498637/,kaya hareketi
http://www.iha.com.tr/samsun-haberleri/dugunde-sahit-rekoru-kirildi-samsun-1953032/,kaya kayması
http://www.milliyet.com.tr/amp/milliyet-tv/depremde-yola-dusen-kayalardan-ramakla-kurtuldular-4735725,kaya çökmesi
http://www.milliyet.com.tr/milliyet-tv/100-haber-4573132,kaya kayması
https://aa.com.tr/tr/mod/fotograf-galerisi/12537/anadolu-ajansinin-94-kurulus-yil-donumu-dolayisiyla-piknik-duzenlendi,heyelan
https://aa.com.tr/tr/pg/foto-galeri/anadolu-ajansi-98-yasinda/0,kaya devrilmesi
https://aa.com.tr/tr/pg/foto-galeri/gazze-sehidini-ugurladi--/4,toprak sürüklenmesi
https://aa.com.tr/tr/pg/foto-galeri/kirpiler-icin-bakim-ve-rehabilitasyon-merkezi,heyelan
https://aa.com.tr/tr/politika/baskanlik-sistemi-tek-adamliga-izin-vermez/369225?amp=1,zemin kayması
https://aa.com.tr/tr/turkiye/ab-bakani-celik-londradaki-cami-saldirisini-guclu-sekilde-kiniyoruz/844792?amp=1,yer hareketleri
https://ai.aa.com.tr/Search?begindate=2024-09-17,heyelan
https://alfa.aa.com.tr/en/energyterminal/natural-gas/us-oil-to-equal-saudi-russia-total-in-2025-ieas-birol/22816,kaya düşmesi
https://alfa.aa.com.tr/tr/15-temmuz-darbe-girisimi/feto-guvenlik-terimleri-sozlugune-girdi/813052,yer hareketleri
